tag,init_file,output_dir,case_region,n_pores_requested,n_pores_effective,k_spacing,depth_ratio,width,height,final_vtu,n_bubbles,status
052,/home/fiorello/init_files_grid/052.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/052,intermediate,1,1,4.181818181818182,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/052/surf_20.0.vtu,0,ok
053,/home/fiorello/init_files_grid/053.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/053,intermediate,1,1,4.181818181818182,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/053/surf_20.0.vtu,0,ok
054,/home/fiorello/init_files_grid/054.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/054,intermediate,1,1,4.454545454545454,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/054/surf_20.0.vtu,0,ok
055,/home/fiorello/init_files_grid/055.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/055,intermediate,1,1,4.454545454545454,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/055/surf_20.0.vtu,0,ok
056,/home/fiorello/init_files_grid/056.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/056,intermediate,1,1,4.454545454545454,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/056/surf_20.0.vtu,0,ok
057,/home/fiorello/init_files_grid/057.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/057,intermediate,1,1,4.454545454545454,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/057/surf_20.0.vtu,0,ok
058,/home/fiorello/init_files_grid/058.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/058,intermediate,1,1,4.454545454545454,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/058/surf_20.0.vtu,0,ok
059,/home/fiorello/init_files_grid/059.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/059,intermediate,1,1,4.454545454545454,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/059/surf_20.0.vtu,0,ok
060,/home/fiorello/init_files_grid/060.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/060,intermediate,1,1,4.727272727272727,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/060/surf_20.0.vtu,0,ok
061,/home/fiorello/init_files_grid/061.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/061,intermediate,1,1,4.727272727272727,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/061/surf_20.0.vtu,0,ok
