tag,init_file,output_dir,case_region,n_pores_requested,n_pores_effective,k_spacing,depth_ratio,width,height
142,/home/fiorello/init_files_grid/142.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/142,intermediate,2,2,5.0,12.0,0.1045,1.064
143,/home/fiorello/init_files_grid/143.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/143,intermediate,2,2,5.0,13.0,0.1045,1.1685
144,/home/fiorello/init_files_grid/144.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/144,intermediate,3,3,2.0,8.0,0.1045,0.6459999999999999
145,/home/fiorello/init_files_grid/145.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/145,intermediate,3,3,2.0,9.0,0.1045,0.7505
146,/home/fiorello/init_files_grid/146.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/146,intermediate,3,3,2.0,10.0,0.1045,0.855
147,/home/fiorello/init_files_grid/147.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/147,intermediate,3,3,2.0,11.0,0.1045,0.9595
148,/home/fiorello/init_files_grid/148.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/148,intermediate,3,3,2.0,12.0,0.1045,1.064
149,/home/fiorello/init_files_grid/149.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/149,intermediate,3,3,2.0,13.0,0.1045,1.1685
150,/home/fiorello/init_files_grid/150.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/150,intermediate,3,3,2.2727272727272725,8.0,0.1045,0.6459999999999999
151,/home/fiorello/init_files_grid/151.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/151,intermediate,3,3,2.2727272727272725,9.0,0.1045,0.7505
152,/home/fiorello/init_files_grid/152.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/152,intermediate,3,3,2.2727272727272725,10.0,0.1045,0.855
153,/home/fiorello/init_files_grid/153.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/153,intermediate,3,3,2.2727272727272725,11.0,0.1045,0.9595
154,/home/fiorello/init_files_grid/154.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/154,intermediate,3,3,2.2727272727272725,12.0,0.1045,1.064
155,/home/fiorello/init_files_grid/155.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/155,intermediate,3,3,2.2727272727272725,13.0,0.1045,1.1685
156,/home/fiorello/init_files_grid/156.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/156,intermediate,3,3,2.5454545454545454,8.0,0.1045,0.6459999999999999
157,/home/fiorello/init_files_grid/157.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/157,intermediate,3,3,2.5454545454545454,9.0,0.1045,0.7505
